Madde1;Cinsiyet
Bazen;Erkek
Ara sıra;Erkek
Asla;Erkek
Ara sıra;Erkek
Ara sıra;Erkek
Ara sıra;Kız
Nadiren;Kız
Nadiren;Kız
Ara sıra;Kız
Nadiren;Kız
Ara sıra;Kız
Asla;Kız
Asla;Kız
Sık sık;Kız
Ara sıra;Kız
Her zaman;Kız
Her zaman;Kız
Nadiren;Kız
Sık sık;Kız
Nadiren;Kız
Asla;Kız
Nadiren;Kız
Bazen;Kız
Bazen;Kız
Asla;Kız
Her zaman;Kız
Ara sıra;Kız
Sık sık;Kız
Bazen;Kız
Nadiren;Kız
Bazen;Kız
Bazen;Kız
Asla;Kız
Sık sık;Kız
Sık sık;Kız
Her zaman;Kız
Ara sıra;Kız
Nadiren;Kız
Bazen;Erkek
Sık sık;Erkek
Sık sık;Erkek
Bazen;Erkek
Asla;Erkek
Bazen;Erkek
Bazen;Erkek
Sık sık;Erkek
Ara sıra;Erkek
Ara sıra;Erkek
Ara sıra;Erkek
Ara sıra;Erkek
Ara sıra;Kız
Nadiren;Kız
Bazen;Erkek
Bazen;Erkek
Asla;Erkek
Her zaman;Erkek
Sık sık;Erkek
Asla;Erkek
Ara sıra;Erkek
Sık sık;Kız
Ara sıra;Kız
Bazen;Erkek
Ara sıra;Erkek
Bazen;Erkek
Asla;Erkek
Her zaman;Erkek
Ara sıra;Erkek
Asla;Kız
Ara sıra;Kız
Her zaman;Kız
Nadiren;Kız
Sık sık;Kız
Bazen;Kız
Asla;Kız
Sık sık;Kız
Ara sıra;Kız
Nadiren;Kız
Asla;Erkek
Bazen;Kız
Bazen;Erkek
Bazen;Erkek
Asla;Erkek
Bazen;Erkek
Bazen;Erkek
Sık sık;Erkek
Ara sıra;Erkek
Her zaman;Erkek
Bazen;Erkek
Her zaman;Erkek
Asla;Erkek
Sık sık;Erkek
Asla;Erkek
Ara sıra;Erkek
